	id	videoID	feature	duration	label
0	1	1tAZLvOZHS4	"[[-0.01389922  0.00152124 -0.01813411 ...  0.00490076 -0.01218965
   0.00901372]
 [-0.00234751  0.00625873 -0.01025576 ... -0.00155634  0.03402022
   0.01063791]
 [-0.01450065  0.00487641 -0.01912315 ...  0.01348138  0.00734124
   0.00732222]
 ...
 [-0.02442716  0.00014174 -0.01627121 ... -0.00494483 -0.00061449
   0.00630398]
 [-0.0221179  -0.00860941 -0.02421469 ...  0.01480229 -0.03516842
   0.00420264]
 [-0.0334628   0.00180388 -0.01619144 ...  0.0022191  -0.04022821
   0.0082642 ]]"	132.332	-1
1	2	_fS7RFY5hi0	"[[ 0.00271596 -0.03803639  0.04887007 ...  0.01537442  0.07483891
   0.01910864]
 [ 0.00129638 -0.0408572   0.04312918 ...  0.0131709   0.07519858
   0.01845094]
 [-0.00696346 -0.03591546  0.03304766 ...  0.00654545  0.02834817
   0.01883094]
 ...
 [ 0.00291752 -0.03474957  0.02867649 ... -0.0041534   0.04940571
   0.01738449]
 [-0.00483569 -0.02461444 -0.00123419 ... -0.00289076 -0.01573089
   0.00674022]
 [-0.01377065 -0.02462579  0.01322699 ...  0.00353675  0.00635888
   0.01771016]]"	151.685	-1
2	3	_fS7RFY5hi0	"[[-0.00808165 -0.00905234 -0.0097421  ... -0.00223476  0.04433293
   0.01032281]
 [-0.01176937  0.00820982 -0.01563934 ...  0.0093467   0.06697363
   0.00982559]
 [-0.01795782  0.00396401 -0.00453574 ...  0.00406129 -0.00473448
   0.01068208]
 ...
 [-0.00826422 -0.01199142 -0.0014539  ... -0.00056237  0.00991398
   0.00565797]
 [-0.01103736  0.00781426 -0.00055582 ...  0.00545674  0.00053876
  -0.00037704]
 [-0.01730646 -0.01557171  0.01542145 ...  0.00594695 -0.00421751
   0.00802911]]"	47.047	-1
3	4	0z9CNAVg6jk	"[[-0.03291892 -0.00307264 -0.01376032 ... -0.00024821  0.00075988
   0.01224783]
 [-0.02618229 -0.00567206 -0.01356355 ...  0.00690942  0.00958078
   0.00600896]
 [-0.02739486  0.00052915 -0.01386375 ...  0.01164425  0.00636258
   0.00770263]
 ...
 [-0.02375472 -0.00109595 -0.01781875 ...  0.00669435  0.04929996
   0.00934838]
 [-0.02010251 -0.01684291 -0.01280261 ... -0.01565004  0.02306637
   0.01805432]
 [-0.0214985  -0.01195086 -0.00393445 ... -0.015765   -0.00960119
   0.01888671]]"	261.461	-1
4	5	0z9CNAVg6jk	"[[-0.0060882   0.00861     0.00524489 ...  0.01451975 -0.02188829
   0.00257837]
 [-0.00876439 -0.01915494  0.01019171 ...  0.0122104  -0.02536422
   0.00408557]
 [ 0.00148169 -0.01045583  0.00937208 ...  0.00540701  0.00381724
  -0.00191281]
 ...
 [ 0.00419563 -0.01565145  0.00827242 ... -0.0055623   0.01865311
   0.00301261]
 [-0.00356725  0.01055456  0.01688758 ...  0.01770343  0.00685893
   0.01141874]
 [-0.00900597 -0.00228602 -0.00166604 ...  0.00789079  0.0119811
  -0.00582311]]"	72.072	-1
5	6	1ynOm1JN_BY	"[[-0.01498149 -0.00355574 -0.0009348  ... -0.01074055 -0.03934278
   0.01223863]
 [-0.01775225  0.00535844 -0.01603461 ...  0.00445016  0.00493522
   0.00936285]
 [-0.02145044  0.00062152 -0.00859531 ... -0.0021718   0.01906881
  -0.00698377]
 ...
 [-0.01803418  0.01293245 -0.01064622 ...  0.0172994   0.01702921
   0.00575745]
 [-0.02703057  0.01038581 -0.00623534 ...  0.01698352  0.03365449
   0.00089202]
 [-0.01790713  0.00741216 -0.00113403 ...  0.01136562  0.00640379
   0.00403917]]"	630.53	0
6	8	34E-Xoj2NQw	"[[-0.02502215 -0.01892292 -0.02652234 ...  0.02691111 -0.00479781
  -0.00319749]
 [-0.02376861 -0.02148012 -0.02627288 ...  0.0158197   0.00945019
  -0.00208876]
 [-0.0239546  -0.01936199 -0.02507076 ...  0.00642493 -0.00519364
   0.00030667]
 ...
 [-0.02264299 -0.01205877 -0.02535148 ...  0.02287214  0.03814701
  -0.00323793]
 [-0.02572235 -0.01430602 -0.01845525 ...  0.02476259 -0.0047065
  -0.00341713]
 [-0.02558793 -0.01365098 -0.02503668 ...  0.02090338 -0.02595147
  -0.00411461]]"	94.6279	1
7	9	34E-Xoj2NQw	"[[-0.03095966 -0.01641592 -0.02179936 ...  0.02377046 -0.02805565
   0.00591672]
 [-0.03111384 -0.01621673 -0.02009971 ...  0.02427328 -0.03678448
   0.00737754]
 [-0.02865044 -0.01306104 -0.01896406 ...  0.03125073 -0.04746096
  -0.00188327]
 ...
 [-0.0387748  -0.00807381 -0.02298792 ...  0.01286261 -0.03905923
   0.00252695]
 [-0.03352165 -0.01631903 -0.01497196 ...  0.01374791 -0.04796019
   0.00062375]
 [-0.02884021  0.00049509 -0.01630696 ...  0.02694592  0.01807461
   0.01060762]]"	49.049	1
8	10	34E-Xoj2NQw	"[[-0.04128577  0.00373867 -0.02009986 ...  0.02962403 -0.0195893
   0.00356373]
 [-0.03818457  0.0019401  -0.01288511 ...  0.02148964 -0.00938306
   0.00156044]
 [-0.03900531 -0.00428137 -0.02091001 ...  0.03082151 -0.01504838
   0.00301203]
 ...
 [-0.03738318  0.0046185  -0.01636616 ...  0.02813456 -0.00011192
   0.00771129]
 [-0.0364547  -0.00652268 -0.01830294 ...  0.02926401 -0.00894743
   0.00923596]
 [-0.03501891 -0.00273767 -0.01018454 ...  0.04737605 -0.0180031
   0.00525525]]"	48.1147	0
9	11	472QFGi71kA	"[[-0.02437101 -0.00581105 -0.02011633 ...  0.00661048  0.00347366
   0.01264718]
 [-0.02172314 -0.01966324 -0.01653105 ... -0.00283279 -0.02489752
   0.01218654]
 [-0.02594878 -0.01528603 -0.01479779 ... -0.00609065 -0.0522936
   0.01006662]
 ...
 [-0.0230427  -0.01204127 -0.02136549 ...  0.0005316   0.05672828
   0.01099337]
 [-0.0268971  -0.00151058 -0.02498671 ...  0.02410365  0.04790166
   0.01146906]
 [-0.03113619 -0.01088643 -0.02609739 ...  0.00525324 -0.00059536
   0.01112113]]"	293.293	-1
