	id	videoID	duration	channel	label	proba	pers
0	80	-i-mc98vbPI	101.735	UC48DOiEvCDu3sThBijwkQ1A	-1	0.0	0.0
1	81	-i-mc98vbPI	553.32	UC48DOiEvCDu3sThBijwkQ1A	5	0.9662052533516894	0.16926794817384655
2	82	-i-mc98vbPI	38.4718	UC48DOiEvCDu3sThBijwkQ1A	6	0.9322830713591472	0.04186825568596376
3	83	-i-mc98vbPI	60.1935	UC48DOiEvCDu3sThBijwkQ1A	-1	0.0	0.0
4	84	1D4lgDHNVHk	209.009	UC48DOiEvCDu3sThBijwkQ1A	-1	0.0	0.0
5	85	1D4lgDHNVHk	210.11	UC48DOiEvCDu3sThBijwkQ1A	5	1.0	0.16926794817384655
6	86	1okpR8VUYhQ	313.213	UC48DOiEvCDu3sThBijwkQ1A	5	1.0	0.16926794817384655
7	87	1okpR8VUYhQ	100.734	UC48DOiEvCDu3sThBijwkQ1A	-1	0.0	0.0
8	88	21IqloyVWXk	104.771	UC48DOiEvCDu3sThBijwkQ1A	-1	0.0	0.0
9	90	21IqloyVWXk	33.9673	UC48DOiEvCDu3sThBijwkQ1A	-1	0.0	0.0
10	91	21IqloyVWXk	694.628	UC48DOiEvCDu3sThBijwkQ1A	5	1.0	0.16926794817384655
11	93	21IqloyVWXk	44.2776	UC48DOiEvCDu3sThBijwkQ1A	5	1.0	0.16926794817384655
12	95	2AGSOMwULug	434.768	UC48DOiEvCDu3sThBijwkQ1A	5	1.0	0.16926794817384655
13	96	2AGSOMwULug	439.839	UC48DOiEvCDu3sThBijwkQ1A	5	1.0	0.16926794817384655
14	97	2cYynPWlgPM	198.732	UC48DOiEvCDu3sThBijwkQ1A	6	0.9759900854171562	0.04186825568596376
15	98	2cYynPWlgPM	451.551	UC48DOiEvCDu3sThBijwkQ1A	5	1.0	0.16926794817384655
16	100	2pO56z7oMZE	243.61	UC48DOiEvCDu3sThBijwkQ1A	5	1.0	0.16926794817384655
17	102	3hSZunsMeGk	129.596	UC48DOiEvCDu3sThBijwkQ1A	-1	0.0	0.0
18	103	3hSZunsMeGk	40.3737	UC48DOiEvCDu3sThBijwkQ1A	-1	0.0	0.0
19	104	3hSZunsMeGk	729.195	UC48DOiEvCDu3sThBijwkQ1A	5	1.0	0.16926794817384655
20	105	6nJoIOSwjWo	98.2648	UC48DOiEvCDu3sThBijwkQ1A	6	1.0	0.04186825568596376
21	106	6nJoIOSwjWo	1491.52	UC48DOiEvCDu3sThBijwkQ1A	5	1.0	0.16926794817384655
22	107	7K-y4PRxiTQ	189.689	UC48DOiEvCDu3sThBijwkQ1A	5	1.0	0.16926794817384655
23	108	7uH6hL4_KvI	160.227	UC48DOiEvCDu3sThBijwkQ1A	6	0.9629757402835653	0.04186825568596376
24	109	7uH6hL4_KvI	331.064	UC48DOiEvCDu3sThBijwkQ1A	5	1.0	0.16926794817384655
25	110	8GTrogQx144	277.1	UC48DOiEvCDu3sThBijwkQ1A	5	1.0	0.16926794817384655
26	111	8GTrogQx144	48.6333	UC48DOiEvCDu3sThBijwkQ1A	-1	0.0	0.0
31	117	CThhIs-QPyo	436.67	UC48DOiEvCDu3sThBijwkQ1A	6	0.9177457270075982	0.04186825568596376
32	118	CThhIs-QPyo	604.637	UC48DOiEvCDu3sThBijwkQ1A	5	1.0	0.16926794817384655
34	120	D07_c8qNbTE	1161.19	UC48DOiEvCDu3sThBijwkQ1A	5	0.8843758852668553	0.16926794817384655
35	121	D07_c8qNbTE	41.1077	UC48DOiEvCDu3sThBijwkQ1A	-1	0.0	0.0
45	132	GbtxOum5NxY	63.2966	UC48DOiEvCDu3sThBijwkQ1A	5	1.0	0.16926794817384655
46	133	GbtxOum5NxY	856.522	UC48DOiEvCDu3sThBijwkQ1A	-1	0.0	0.0
47	134	GbtxOum5NxY	828.494	UC48DOiEvCDu3sThBijwkQ1A	5	0.9485099994441384	0.16926794817384655
48	135	GswZzDS-8WM	68.0346	UC48DOiEvCDu3sThBijwkQ1A	-1	0.0	0.0
49	138	GswZzDS-8WM	319.953	UC48DOiEvCDu3sThBijwkQ1A	5	1.0	0.16926794817384655
55	148	JnGb6NlPCzE	414.547	UC48DOiEvCDu3sThBijwkQ1A	5	1.0	0.16926794817384655
56	149	JnGb6NlPCzE	90.1901	UC48DOiEvCDu3sThBijwkQ1A	5	0.9830142708077034	0.16926794817384655
63	156	KxlNNRsqh6c	173.507	UC48DOiEvCDu3sThBijwkQ1A	16	0.9543662389734017	0.02999741906309757
64	158	KxlNNRsqh6c	85.0183	UC48DOiEvCDu3sThBijwkQ1A	-1	0.0	0.0
65	159	KxlNNRsqh6c	207.908	UC48DOiEvCDu3sThBijwkQ1A	5	1.0	0.16926794817384655
66	160	KxlNNRsqh6c	276.543	UC48DOiEvCDu3sThBijwkQ1A	5	1.0	0.16926794817384655
68	162	LG3feULrOKc	144.044	UC48DOiEvCDu3sThBijwkQ1A	1	1.0	0.0536680716111835
69	163	LG3feULrOKc	291.691	UC48DOiEvCDu3sThBijwkQ1A	5	1.0	0.16926794817384655
70	164	LG3feULrOKc	30.5305	UC48DOiEvCDu3sThBijwkQ1A	-1	0.0	0.0
77	171	M_DPKHhwzak	999.899	UC48DOiEvCDu3sThBijwkQ1A	5	1.0	0.16926794817384655
78	172	M_DPKHhwzak	52.419	UC48DOiEvCDu3sThBijwkQ1A	5	1.0	0.16926794817384655
79	173	N0fMJl-cJbE	66.2996	UC48DOiEvCDu3sThBijwkQ1A	-1	0.0	0.0
80	174	N0fMJl-cJbE	78.1781	UC48DOiEvCDu3sThBijwkQ1A	-1	0.0	0.0
81	175	N0fMJl-cJbE	120.12	UC48DOiEvCDu3sThBijwkQ1A	-1	0.0	0.0
82	176	N0fMJl-cJbE	83.2498	UC48DOiEvCDu3sThBijwkQ1A	6	0.9922777717877257	0.04186825568596376
83	177	N0fMJl-cJbE	76.3763	UC48DOiEvCDu3sThBijwkQ1A	5	1.0	0.16926794817384655
96	194	PGr4HYZM9-o	223.723	UC48DOiEvCDu3sThBijwkQ1A	5	1.0	0.16926794817384655
100	199	RDiV9OmR0E8	1416.31	UC48DOiEvCDu3sThBijwkQ1A	6	0.9318089068672304	0.04186825568596376
101	200	RDiV9OmR0E8	1906.1	UC48DOiEvCDu3sThBijwkQ1A	5	0.8363674463115539	0.16926794817384655
104	204	SsOhz9fnqjo	38.672	UC48DOiEvCDu3sThBijwkQ1A	6	0.9353368499437856	0.04186825568596376
105	205	SsOhz9fnqjo	138.872	UC48DOiEvCDu3sThBijwkQ1A	-1	0.0	0.0
106	206	SsOhz9fnqjo	552.318	UC48DOiEvCDu3sThBijwkQ1A	5	1.0	0.16926794817384655
107	207	SsOhz9fnqjo	61.1277	UC48DOiEvCDu3sThBijwkQ1A	5	0.9229524070206158	0.16926794817384655
108	208	Sw04dLc8tak	238.839	UC48DOiEvCDu3sThBijwkQ1A	5	1.0	0.16926794817384655
109	209	Sw04dLc8tak	130.163	UC48DOiEvCDu3sThBijwkQ1A	5	1.0	0.16926794817384655
110	210	UhlZm7qxOqI	418.451	UC48DOiEvCDu3sThBijwkQ1A	5	1.0	0.16926794817384655
111	211	UhlZm7qxOqI	40.4737	UC48DOiEvCDu3sThBijwkQ1A	16	1.0	0.02999741906309757
112	212	VdCChCSA-Q8	139.606	UC48DOiEvCDu3sThBijwkQ1A	5	1.0	0.16926794817384655
113	213	VdCChCSA-Q8	67.9012	UC48DOiEvCDu3sThBijwkQ1A	5	0.9488411229411043	0.16926794817384655
119	222	ZmzVK5CT_kw	72.706	UC48DOiEvCDu3sThBijwkQ1A	5	0.9879815750370764	0.16926794817384655
120	223	ZmzVK5CT_kw	948.681	UC48DOiEvCDu3sThBijwkQ1A	5	0.8185383658330831	0.16926794817384655
121	224	ZmzVK5CT_kw	332.632	UC48DOiEvCDu3sThBijwkQ1A	-1	0.0	0.0
27	113	bh1aCjpWtdc	845.044	UC48DOiEvCDu3sThBijwkQ1A	5	1.0	0.16926794817384655
28	114	bwczah5LcBw	1303.07	UC48DOiEvCDu3sThBijwkQ1A	5	1.0	0.16926794817384655
29	115	bwczah5LcBw	62.0954	UC48DOiEvCDu3sThBijwkQ1A	3	1.0	0.0
30	116	bwczah5LcBw	235.669	UC48DOiEvCDu3sThBijwkQ1A	3	1.0	0.0
33	119	d026Zr052gI	412.312	UC48DOiEvCDu3sThBijwkQ1A	5	1.0	0.16926794817384655
36	122	eDNJwuUKeMU	834.534	UC48DOiEvCDu3sThBijwkQ1A	5	1.0	0.16926794817384655
37	123	eDNJwuUKeMU	46.7467	UC48DOiEvCDu3sThBijwkQ1A	5	0.7530722237842903	0.16926794817384655
38	124	eGFYwCfr8_Y	681.681	UC48DOiEvCDu3sThBijwkQ1A	5	0.9134182282490629	0.16926794817384655
39	125	eGFYwCfr8_Y	190.824	UC48DOiEvCDu3sThBijwkQ1A	-1	0.0	0.0
